ambiguity,fileid,nps,numbers,sent
Oxford,test/15639,USX Corp <X>~~~Bethlehem Steel Corp <BS>~~~Armco Inc <AS>~~~Inland Steel Industries Inc,"['S', 'S', 'S', 'S']","But Dean Witter Reynolds Inc analyst Clarence Morrison sees some short-term potential in the group, which includes USX Corp <X>, Bethlehem Steel Corp <BS>, Armco Inc <AS> and Inland Steel Industries Inc <IAD>. ""There is still some attractiveness to steels over the short- to intermediate-term based on improved order rates and rising prices,"" Morrison said."
Neither,test/15639,"reduced capacity in the domestic industry~~~better prices~~~a weaker dollar , which should cause steel imports to drop off slightly from last year","['S', 'P', 'S']","""But there are more positives than negatives,"" she said, citing reduced capacity in the domestic industry, better prices, and a weaker dollar, which should cause steel imports to drop off slightly from last year."
Oxford,test/15641,continued productivity improvement~~~higher volume~~~better product mix~~~a weaker U.S. dollar,"['S', 'S', 'S', 'S']","Abbott Laboratories Inc said its 1987 first quarter record results reflected continued productivity improvement, higher volume, better product mix and a weaker U.S. dollar."
Lack of Oxford,test/15642,2-3 beef cuts~~~fabricated items~~~vacuum packed,"['P', 'P', 'S']","Yield grade 2-3 beef cuts, fabricated items, vacuum packed."
Oxford,test/15653,Cocoa Producers Alliance~~~CPA~~~members,"['S', 'S', 'P']","Brazilian cocoa exporters are not likely to follow the example of Cocoa Producers Alliance, CPA, members, who may limit sales of the product in an effort to boost world prices, trade sources said."
Oxford,test/15703,Japan~~~the U.S.~~~Italy~~~Spain~~~the U.K.,"['S', 'S', 'S', 'S', 'S']","He said the company anticipates approval in Japan, the U.S., Italy, Spain and the U.K. for its ulcer treatment drug Cytotech."
Oxford,test/15710,ELEVATOR LOADING WAITING Continental Grain~~~Westwego 1 6 Mississippi River~~~Myrtle Grove,"['S', 'S', 'S']","ELEVATOR LOADING WAITING Continental Grain, Westwego 1 6 Mississippi River, Myrtle Grove 1 0 ADM Growmark 1 4 Bunge Grain, Destrehan 1 0 ELEVATOR LOADING WAITING ST CHARLES DESTREHAN 1 1 RESERVE ELEVATOR CORP 1 0 PEAVEY CO, ST ELMO 1 0 CARGILL GRAIN, TERRE HAUTE 2 1 CARGILL GRAIN, PORT ALLEN 0 0 ZEN-NOH 1 2"
Lack of Oxford,test/15742,housewares~~~furniture~~~big ticket items,"['P', 'S', 'P']","In March, sales of housewares, furniture and big ticket items were stronger than apparel sales, signaling to many analysts that apparel sales will be strong in April as the holiday nears."
Oxford,test/15751,June~~~July~~~August,"['S', 'S', 'S']","The tender calls for shipment of 6,100 tonnes in May, 12,200 tonnes each in June, July and August and 12,300 tonnes in September, they said."
Oxford,test/15767,FOB~~~Herculaneum~~~Mo.,"['S', 'S', 'S']","The price is quoted FOB, Herculaneum, Mo., and FOB, Boss, Mo., with freight allowed for carload quantities."
Neither,test/15785,Citicorp Venture Capital Ltd~~~Concord Ventures of Dillon Read and Co~~~private investors,"['S', 'P', 'P']","Emcore said it completed the sale of 4.1 mln dlrs of stock to Citicorp Venture Capital Ltd, Concord Ventures of Dillon Read and Co and private investors."
Neither,test/15816,2.50 billion dlrs of 91-day bills~~~1.40 billion dlrs of 182-day bills~~~500 mln dlrs of 364-day bills,"['P', 'P', 'P']","Tenders will be received next week for 2.50 billion dlrs of 91-day bills, 1.40 billion dlrs of 182-day bills and 500 mln dlrs of 364-day bills."
Oxford,test/15834,"operating loss carryforward gain of 57,000 dlrs~~~two cts per share vs gain of 21,000 dlrs~~~one ct per share","['S', 'S', 'S']","Oper shr four cts vs one ct Oper net 108,000 vs 30,000 Revs 12.8 mln vs 14.8 mln Note: Current qtr figures exclude operating loss carryforward gain of 57,000 dlrs, or two cts per share vs gain of 21,000 dlrs, or one ct per share."
Lack of Oxford,test/15841,Nonaccrual loans~~~restructured loans~~~other real estate,"['P', 'P', 'S']","Nonaccrual loans, restructured loans and other real estate were 637 mln dlrs, or 2.24 pct of total assets, compared to 514 mln dlrs or 1.84 pct of assets at the end of 1986 and 636.1 mln, or 2.46 pct of assets at March 31, 1986."
Neither,test/15851,"gains of nothing vs 2,444,000 dlrs , or 72 cts a share , in quarter and 1,890,000 dlrs~~~60 cts a share~~~vs 9,3267,000 dlrs~~~2.72 dlrs a share","['P', 'S', 'P', 'S']","mln Avg shrs 3,154,665 vs 3,425,187 NOTE: Operating net excludes gains of nothing vs 2,444,000 dlrs, or 72 cts a share, in quarter and 1,890,000 dlrs, or 60 cts a share, vs 9,3267,000 dlrs, or 2.72 dlrs a share, in year from tax loss carryforwards"
Lack of Oxford,test/15854,"122,900,000 boxes~~~vs 124,000,000 last month~~~119,000,000 boxes in 1985/86","['P', 'S', 'P']","Florida oranges (excluding Temples) -- 122,900,000 boxes, vs 124,000,000 last month and 119,000,000 boxes in 1985/86."
Lack of Oxford,test/15854,"3,400,000 boxes~~~vs 3,400,000 last month~~~2,950,000 boxes in 1985/86","['P', 'S', 'P']","Florida Temples -- 3,400,000 boxes, vs 3,400,000 last month and 2,950,000 boxes in 1985/86."
Neither,test/15858,"79,100 acres~~~vs 76,700 acres estimated last month~~~75,900 acres harvested last year","['P', 'P', 'P']","The department estimated spring potato area for harvest at 79,100 acres, vs 76,700 acres estimated last month and 75,900 acres harvested last year."
Lack of Oxford,test/15860,feedgrains~~~corn~~~wheat,"['P', 'S', 'S']","The U.S. Agriculture Department gave projected carryover free stocks of feedgrains, corn and wheat under loans, with comparisons, as follows, in mln bushels, except feedgrains, which is in mln tonnes -- 1986/87 1985/86 04/09/87 03/09/87 04/09/87 03/09/87 Under Regular Nine Month Loan -- WHEAT 225 300 678 678 FEEDGRAINS 52.1 68.1 75.7 75.7 CORN 1,800 2,400 2,589 2,589 Special Producer Storage Loan Program -- WHEAT 165 150 163 163 FEEDGRAINS 7.0 6.7 5.3 5.3 CORN 200 200 147 147"
Neither,test/15871,sales~~~cancellations~~~foreign purchases~~~cumulative exports,"['P', 'P', 'P', 'P']","The U.S. Agriculture Department gave the net change in export commitments, including sales, cancellations, foreign purchases and cumulative exports, in the current seasons through the week ended April 2, with comparisons, as follows, in tonnes, except as noted -- 4/2/87 Prev Week All Wheat 119,800 368,300 Corn 1,001,900 927,000 Soybeans 240,500 300,900 Soy"
Neither,test/15871,reported commitments to both named and unnamed destinations~~~sales on exporters ' own account~~~optional origin sales plus actual exports already made during the respective marketing seasons,"['P', 'P', 'P']","The indicated totals include reported commitments to both named and unnamed destinations, sales on exporters' own account and optional origin sales plus actual exports already made during the respective marketing seasons."
Oxford,test/15871,modification~~~deferral~~~cancellation,"['S', 'S', 'S']","The USDA cautions that reported outstanding sales are subject to modification, deferral or cancellation and it is unlikely that all reported quantities will be exported."
Oxford,test/15875,corn~~~wheat~~~soybean~~~feedgrains~~~sorghum~~~barley~~~oats,"['S', 'S', 'S', 'P', 'S', 'S', 'S']","Feed usage for corn, wheat, soybean, feedgrains, sorghum, barley, oats includes residual amount."
Neither,test/15893,wheat~~~12 mln tonnes coarse grains~~~the remaining one mln tonnes miscellaneous grains and pulses,"['S', 'P', 'P']","Of the 28 mln tonnes total, 15 mln tonnes will be wheat, 12 mln tonnes coarse grains, and the remaining one mln tonnes miscellaneous grains and pulses, USDA said."
Neither,test/15894,cash~~~securities with a face value of 70 dlrs~~~a `` contingent payment certificate '' that would pay out as much as 70 dlrs over a 20-year period for each share of Holly Sugar outstanding,"['S', 'P', 'S']","The offer was for 45 dlrs in cash, securities with a face value of 70 dlrs, and a ""contingent payment certificate"" that would pay out as much as 70 dlrs over a 20-year period for each share of Holly Sugar outstanding."
Neither,test/15898,servicing~~~sales~~~telemarketing,"['S', 'P', 'S']","The companies are engaged in servicing, sales and telemarketing of consumer electronic merchandise."
Oxford,test/15911,June 1~~~corn September 1~~~soybean meal,"['S', 'S', 'S']","The marketing year for wheat begins June 1, corn September 1, and soybean meal October 1."
Neither,test/15920,Shasta Beverages~~~Spree All Natural Beverages~~~private label brands,"['P', 'P', 'P']","National Beverage, which is also privately held, owns and bottles Shasta Beverages, Spree All Natural Beverages and private label brands in its 11 bottling facilities in the United States."
Neither,test/15924,75 cts~~~0.7 pct sulphur to 21 dlrs~~~up 75 cts~~~one pct sulphur to 20.25 dlrs~~~up 75 cts~~~two pct sulphur to 19.75 dlrs~~~up one dlr~~~2.2 pct sulphur to 19.50 dlrs~~~up one dlr~~~2.8 pct sulphur 19 dlrs~~~up one dlr,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'P', 'S']","The increase brings the price for 0.5 pct sulphur fuel to 21.50 dlrs, up 50 cts, 0.7 pct sulphur to 21 dlrs, up 75 cts, 0.7 pct sulphur to 21 dlrs, up 75 cts, one pct sulphur to 20.25 dlrs, up 75 cts, two pct sulphur to 19.75 dlrs, up one dlr, 2.2 pct sulphur to 19.50 dlrs, up one dlr, 2.8 pct sulphur 19 dlrs, up one dlr, the company said."
Lack of Oxford,test/15932,the Quebec Health and Safety Commission~~~the Quebec Provincial Police~~~Noranda itself,"['P', 'P', 'S']","Noranda said the Quebec Health and Safety Commission, the Quebec Provincial Police and Noranda itself are each conducting an investigation into the fire."
Neither,test/15956,brokering treasury bills~~~notes~~~bonds,"['P', 'P', 'P']","In conjunction with the sale of assets, MKI has ceased brokering treasury bills, notes and bonds, Fundamental said."
Neither,test/15960,"4,496,533 gallons~~~5,058,976 gallons in the week ended March 28~~~4,141,578 gallons in the corresponding year-ago period","['P', 'P', 'P']","Florida Citrus Processors Association said frozen concentrated orange juice movement into trade channels in the week ended April 4 totalled 4,496,533 gallons versus 5,058,976 gallons in the week ended March 28 and 4,141,578 gallons in the corresponding year-ago period."
Oxford,test/15964,the group in which Conoco has a 67.5 pct interest~~~Louisiana Land 20 pct~~~Orange-Nassau 12.5 pct,"['S', 'S', 'S']","Louisiana Land said Blocks Q4a, E12c and E15b were offered to the group in which Conoco has a 67.5 pct interest, Louisiana Land 20 pct and Orange-Nassau 12.5 pct, while this group along with a consortium headed by Pennzoil Co <PZL> were offered Block Q5c."
Lack of Oxford,test/15967,sales~~~marketing~~~manufacturing,"['P', 'S', 'S']","On April one, it began consolidating sales, marketing and manufacturing operations."
Oxford,test/15975,Iraq~~~Japan~~~the USSR,"['S', 'S', 'S']","In comments on its latest Export Sales Report, the department said Iraq, Japan and the USSR were the largest buyers."
Oxford,test/15975,Japan~~~Mexico~~~South,"['S', 'S', 'S']","Japan, Mexico, South Korea, Italy and Israel were the major purchasers, the department said."
Oxford,test/15975,West Germany~~~Venezuela~~~the Netherlands~~~Saudi Arabia,"['S', 'S', 'S', 'S']","Major increases for West Germany, Venezuela, the Netherlands and Saudi Arabia were partially offset by reductions for unknown destinations, USDA said."
Oxford,test/15975,Zaire~~~Italy~~~Spain,"['S', 'S', 'S']","Mexico was the dominant buyer for the current year followed by Zaire, Italy, and Spain, the department said."
Oxford,test/15975,South Korea~~~Spain~~~Japan~~~Taiwan,"['S', 'S', 'S', 'S']","The primary buyers for the 1987/88 season were South Korea, Spain, Japan and Taiwan, the department said."
Neither,test/15979,the energy and advanced technology~~~industries~~~commerical segments,"['P', 'P', 'P']","Danworth attributed the results to an increase in the operating profit in the energy and advanced technology, industries and commerical segments."
Oxford,test/15987,Thursday~~~Friday~~~Monday,"['S', 'S', 'S']","In the second week, they ran a deficit on Thursday, Friday and Monday but held excess reserves on the final two days."
Lack of Oxford,test/15993,"its investment bankers~~~Tucker , Anthony~~~R.L. Day Inc","['P', 'S', 'S']","The company did not identify the parties that made the inquiries, but it said they had been referred to its investment bankers, Tucker, Anthony and R.L. Day Inc, for study."
Lack of Oxford,test/15993,its operating units~~~Greenville Tube Corp~~~MD Pneumatics Inc.,"['P', 'S', 'S']","On March 18, the company said it engaged Tucker, Anthony to seek purchasers of its operating units, Greenville Tube Corp and MD Pneumatics Inc."
